CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,LSTAT,MEDV
8.15174,0.0,18.1,0,0.7,5.39,98.9,1.7281,24,666,20.2,20.85,11.5
10.232999999999999,0.0,18.1,0,0.614,6.185,96.7,2.1705,24,666,20.2,18.03,14.6
24.8017,0.0,18.1,0,0.693,5.349,96.0,1.7028,24,666,20.2,19.77,8.3
0.25199,0.0,10.59,0,0.489,5.7829999999999995,72.7,4.3549,4,277,18.6,18.06,22.5
0.20745999999999998,0.0,27.74,0,0.609,5.093,98.0,1.8226,4,711,20.1,29.68,8.1
0.26938,0.0,9.9,0,0.544,6.266,82.8,3.2628,4,304,18.4,7.9,21.6
4.64689,0.0,18.1,0,0.614,6.98,67.6,2.5329,24,666,20.2,11.66,29.8
1.6566,0.0,19.58,0,0.871,6.122000000000001,97.3,1.618,5,403,14.7,14.1,21.5
2.2423599999999997,0.0,19.58,0,0.605,5.854,91.8,2.4219999999999997,5,403,14.7,11.64,22.7
0.12082999999999999,0.0,2.89,0,0.445,8.068999999999999,76.0,3.4952,2,276,18.0,4.21,38.7
1.25179,0.0,8.14,0,0.5379999999999999,5.57,98.1,3.7979,4,307,21.0,21.02,13.6
15.0234,0.0,18.1,0,0.614,5.303999999999999,97.3,2.1007,24,666,20.2,24.91,12.0
2.4495299999999998,0.0,19.58,0,0.605,6.402,95.2,2.2625,5,403,14.7,11.32,22.3
0.55007,20.0,3.97,0,0.647,7.206,91.6,1.9301,5,264,13.0,8.1,36.5
0.7258,0.0,8.14,0,0.5379999999999999,5.727,69.5,3.7965,4,307,21.0,11.28,18.2
38.3518,0.0,18.1,0,0.693,5.452999999999999,100.0,1.4896,24,666,20.2,30.59,5.0
2.7339700000000002,0.0,19.58,0,0.871,5.597,94.9,1.5257,5,403,14.7,21.45,15.4
0.23911999999999997,0.0,9.69,0,0.585,6.019,65.3,2.4091,6,391,19.2,12.92,21.2
0.5201399999999999,20.0,3.97,0,0.647,8.398,91.5,2.2885,5,264,13.0,5.91,48.8
0.61154,20.0,3.97,0,0.647,8.704,86.9,1.801,5,264,13.0,5.12,50.0
0.09378,12.5,7.87,0,0.524,5.888999999999999,39.0,5.4509,5,311,15.2,15.71,21.7
0.11069000000000001,0.0,13.89,1,0.55,5.9510000000000005,93.8,2.8893,5,276,16.4,17.92,21.5
0.01951,17.5,1.38,0,0.4161,7.104,59.5,9.2229,3,216,18.6,8.05,33.0
0.08244,30.0,4.93,0,0.428,6.481,18.5,6.1899,6,300,16.6,6.36,23.7
0.07896,0.0,12.83,0,0.43700000000000006,6.273,6.0,4.2515,5,398,18.7,6.78,24.1
3.6782199999999996,0.0,18.1,0,0.77,5.362,96.2,2.1036,24,666,20.2,10.19,20.8
0.84054,0.0,8.14,0,0.5379999999999999,5.599,85.7,4.4546,4,307,21.0,16.51,13.9
7.83932,0.0,18.1,0,0.655,6.209,65.4,2.9634,24,666,20.2,13.22,21.4
0.1676,0.0,7.38,0,0.493,6.426,52.3,4.5404,5,287,19.6,7.2,23.8
0.1396,0.0,8.56,0,0.52,6.167000000000001,90.0,2.421,5,384,20.9,12.33,20.1
0.17899,0.0,9.69,0,0.585,5.67,28.8,2.7986,6,391,19.2,17.6,23.1
0.05425,0.0,4.05,0,0.51,6.315,73.4,3.3175,5,296,16.6,6.29,24.6
9.513630000000001,0.0,18.1,0,0.713,6.728,94.1,2.4961,24,666,20.2,18.71,14.9
0.08187,0.0,2.89,0,0.445,7.82,36.9,3.4952,2,276,18.0,3.57,43.8
0.2896,0.0,9.69,0,0.585,5.39,72.9,2.7986,6,391,19.2,21.14,19.7
0.054970000000000005,0.0,5.19,0,0.515,5.985,45.4,4.8122,5,224,20.2,9.74,19.0
0.09266,34.0,6.09,0,0.433,6.495,18.4,5.4917,7,329,16.1,8.67,26.4
0.28955,0.0,10.59,0,0.489,5.412000000000001,9.8,3.5875,4,277,18.6,29.55,23.7
2.14918,0.0,19.58,0,0.871,5.709,98.5,1.6232,5,403,14.7,15.79,19.4
0.04203,28.0,15.04,0,0.46399999999999997,6.442,53.6,3.6659,4,270,18.2,8.16,22.9
0.67191,0.0,8.14,0,0.5379999999999999,5.813,90.3,4.6819999999999995,4,307,21.0,14.81,16.6
6.65492,0.0,18.1,0,0.713,6.317,83.0,2.7344,24,666,20.2,13.99,19.5
0.13914,0.0,4.05,0,0.51,5.572,88.5,2.5961,5,296,16.6,14.69,23.1
7.9924800000000005,0.0,18.1,0,0.7,5.52,100.0,1.5331,24,666,20.2,24.56,12.3
0.20608,22.0,5.86,0,0.431,5.593,76.5,7.9549,7,330,19.1,12.5,17.6
0.06466000000000001,70.0,2.24,0,0.4,6.345,20.1,7.8278,5,358,14.8,4.97,22.5
2.81838,0.0,18.1,0,0.532,5.7620000000000005,40.3,4.0983,24,666,20.2,10.42,21.8
4.75237,0.0,18.1,0,0.713,6.525,86.5,2.4358,24,666,20.2,18.13,14.1
0.04417,70.0,2.24,0,0.4,6.871,47.4,7.8278,5,358,14.8,6.07,24.8
0.02729,0.0,7.07,0,0.469,7.185,61.1,4.9671,2,242,17.8,4.03,34.7
0.35233000000000003,0.0,21.89,0,0.624,6.454,98.4,1.8498,4,437,21.2,14.59,17.1
0.07244,60.0,1.69,0,0.41100000000000003,5.8839999999999995,18.5,10.7103,4,411,18.3,7.79,18.6
1.8002799999999999,0.0,19.58,0,0.605,5.877000000000001,79.2,2.4259,5,403,14.7,12.14,23.8
6.39312,0.0,18.1,0,0.584,6.162000000000001,97.4,2.206,24,666,20.2,24.1,13.3
15.288,0.0,18.1,0,0.6709999999999999,6.649,93.3,1.3449,24,666,20.2,23.24,13.9
5.7081800000000005,0.0,18.1,0,0.532,6.75,74.9,3.3317,24,666,20.2,7.74,23.7
0.04113,25.0,4.86,0,0.426,6.727,33.5,5.4007,4,281,19.0,5.29,28.0
37.6619,0.0,18.1,0,0.679,6.202000000000001,78.7,1.8629,24,666,20.2,14.52,10.9
4.03841,0.0,18.1,0,0.532,6.229,90.7,3.0993,24,666,20.2,12.87,19.6
9.2323,0.0,18.1,0,0.631,6.216,100.0,1.1691,24,666,20.2,9.53,50.0
